,0,Irony,Offensive,Emotion,Stress Score,Topics
9213,"lakh only those people asking who don’ want feel happy about defense procurements infrastructure development and top that never voted for modi ,1",irony,not-offensive,anger,-233.49104707542693,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
3754,"modi sir thanks rahul agree with you agree congress neglect poor man ago years ,-1",non_irony,not-offensive,sadness,-31.99642318970001,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
144388,"good morning priya such youre working honestly secure the victory modi govt our nation will remain oblige for your valued contribution the twitter put forward the new initiatives development programmes modi ,1",non_irony,not-offensive,optimism,1101.6265614754514,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
42242,"rumours that national security advisor wasn’ around delhi for last two three days this followed the ccs meeting today highly speculated that could big message around national security india awaits hear modi now,1",non_irony,not-offensive,sadness,398.2245410509961,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
19351,"check this out years modi govt fight against corruption,0",irony,not-offensive,optimism,365.1293465750511,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
55910,"modi using drdo glory his govts this wrong,-1",irony,not-offensive,anger,365.66913510922495,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
12845,"this era electronics and digital india campaign every indians sholud have the opportunity vote whereever they are irrespective theire place residence ravichandran ashwin tweets request modi ipl season ndtv ,0",irony,not-offensive,optimism,904.9135628496812,"['news_&_social_concern', 'science_&_technology', 'film_tv_&_video']"
28646,"this govthas the guts take this actionmodi hey mumkin hey,0",non_irony,not-offensive,anger,356.68391307057504,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
91339,"she thinks she complaining some head master amit shah modi tamilisai raja ponnar cpr nainar vanathi piyush goyal would have made better sense elder generation,1",non_irony,not-offensive,anger,254.8785863218922,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
20070,"you might heard and obviously the proverb who asked corruption who asked him shake hands under the table with modi even after all this deserves more consequenses than this this nothing ,1",non_irony,not-offensive,anger,321.3874451294589,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
25957,"have not come power sleep the wheel modi
,0",non_irony,not-offensive,sadness,38.22256634747798,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
90580,"they not hate modi they hate them from their immaculate image
modi thinks about taking india forward
and the gandhi family thinks taking themselves forward modi patriot
and the gandhi family opposes the country ,-1",irony,not-offensive,anger,785.3467197209974,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
8714,"have the best product for modi endorse ghantas viraat hindus bhi khush,1",non_irony,not-offensive,joy,132.478100566529,"['news_&_social_concern', 'business_&_entrepreneurs', 'other_hobbies']"
2442,"how aaj tak and media creates anti modi voices must watch aktk via ,0",non_irony,not-offensive,anger,91.59500558448501,"['news_&_social_concern', 'film_tv_&_video', 'diaries_&_daily_life']"
77737,"mizoram congresszpm combine continues crusade against bjp modi ,0",irony,not-offensive,anger,235.22929111192698,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
68683,"think pretty distasteful that modi for his desperate electioneering snatched away the scientists right announce achievement project started 2011
,-1",irony,not-offensive,anger,522.2818778472091,"['news_&_social_concern', 'science_&_technology', 'business_&_entrepreneurs']"
141000,"modi will win they cant stop modi from winning his seat one will vote for them,1",non_irony,not-offensive,anger,585.5818077340323,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
10741,"rajasthan governor kalyan singh openly praised prime minister narendra modi wishing the latter’ reelection calling necessity for the country and the society ,0",irony,not-offensive,joy,485.31476241855603,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
159280,"can’ you guys see gutters gas connection from drainage which was invented scientist modi right beneath patra’ parked —
,1",non_irony,not-offensive,anger,268.94789137387795,"['news_&_social_concern', 'science_&_technology', 'learning_&_educational']"
148084,"thank you much for your help with modi jinda bad support modi sarkar aaye sabhi log vote for modi jai ,-1",irony,not-offensive,joy,306.5367010780391,"['news_&_social_concern', 'celebrity_&_pop_culture', 'other_hobbies']"
39950,"modi has made realize that are nation 125 and dont need buy anyones narrative its who will create pressure the world which now happening ,0",non_irony,not-offensive,optimism,64.69902084133896,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
13464,"this election 2019 modi bachao pratiyogita hai bjp liye governor speaking favour which shameful for democracy women are bieng insulted fake propaganda are run fekslovakia university social media,-1",irony,not-offensive,anger,679.3693236183711,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
133267,"mein chowkidar hun mein chowkidar hunaap bhi hain asks prime minister narendra modi the public present his rally gohpur assam ,0",non_irony,not-offensive,joy,530.7580944796281,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
114675,"people will vote for joker bcuz dyan didnt like the trailer modi ,0",irony,not-offensive,anger,372.57058472746604,"['film_tv_&_video', 'news_&_social_concern', 'celebrity_&_pop_culture']"
87112,"cannot join the next government since the nda govt that gets remandated may under your favorite modi’ aegis doesn’ need turncoat part time indian economist like him,1",non_irony,not-offensive,anger,374.27898388102506,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
21956,"may come the name modi but bangalore south surprisehope will win sulibele would have been best choice opinion doing great job karnataka,1",non_irony,not-offensive,optimism,307.158152395093,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
161371,"but cant have decent adequate employment opportunities earth
well done bjp sending satellite space not bjps achievement but unemployment ,1",irony,not-offensive,sadness,-27.839964316144062,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
67778,"didi getting frustratedeach day her level frustration going upher great ambition king king maker under severe strain mahagatbandhan under her leadershiponly insignificant leaders are rallyng she suffering from modi phobia,1",non_irony,not-offensive,anger,648.5853386417231,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
47466,"india becomes the 4th nation develop successfully test antisatellite missile announces narendra modia low orbitting satellite alititude 300km was shot down just minutes this big achievement️,1",irony,not-offensive,joy,909.9147350575162,"['news_&_social_concern', 'science_&_technology', 'business_&_entrepreneurs']"
94252,"something aboutmodi and kcr always seem over perform using evms ,0",non_irony,not-offensive,anger,50.910693431083004,"['news_&_social_concern', 'celebrity_&_pop_culture', 'music']"
122235,"nothing new 2014 about 140 ngos many headed filmi people were campaigning varanasi for kejriwal defeat modi varanasi junta fed those filmi people hard that they are still pain now trying the same this time junta will more brutal,-1",irony,not-offensive,anger,565.7199345287801,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
96165,"your xxxxx15081947 credited inr 7200000 280319 deposit imps transfer from indian national congress bal inr 157200000 note income tax department 1500000 from bjp modi 72000 from inc rahul gandhi aab notice mat bhej ,0",non_irony,not-offensive,joy,520.1492851330324,"['news_&_social_concern', 'business_&_entrepreneurs', 'celebrity_&_pop_culture']"
102704,"dmk spokesperson thiaga rajan confident dmk and its allies winning believes tamilians will not fall for modi’ hype they have seen through bjp’ divisiveness and maladministration ,1",irony,not-offensive,anger,800.9758909093099,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
38146,"then dumb work marketing sector after degree didnt required skill believe one has agree everything which modi does any1 else dat case said reservations has impacted our system stick can examples,-1",non_irony,not-offensive,anger,487.41765667701816,"['business_&_entrepreneurs', 'learning_&_educational', 'news_&_social_concern']"
71023,"dear countrymen awake and protecting you your shield please sleep peacefully and sleep till late because you are jobless,-1",irony,not-offensive,sadness,-184.13977576375012,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
119710,"them would nightmare,0",non_irony,not-offensive,sadness,46.405344740957005,"['diaries_&_daily_life', 'film_tv_&_video', 'news_&_social_concern']"
23238,"hola the unroll you asked for thread the most underreported disaster modi govt has been its attack our environment its not exaggeration say … talk you soon ,1",non_irony,not-offensive,anger,-28.423099409813048,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
131122,"hes giving roadmap jobsfarmingrevival rising cost livingmodi has lost this battle against pappu
whos declared winding niti ayog
3year mortarium new biz
nyay has made jumlebaaj clueless,1",non_irony,not-offensive,sadness,716.9068490026906,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
23472,"should something that sleep visits him the way anyone who sleeps more than modi antiindia ,1",irony,not-offensive,anger,429.57940153761,"['diaries_&_daily_life', 'news_&_social_concern', 'relationships']"
152643,"statement modi has been twisted suit opposition parties those who have heard that speech cant misled,-1",non_irony,not-offensive,anger,356.1768352182721,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
50279,"this election about modi’ firmness national security rahul’ desperation power his ponzi schemes,0",irony,not-offensive,anger,555.787066975344,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
118158,"really shock whats bhatak think how modi foolish india and people ready make fool its amazing ,1",irony,offensive,anger,230.99468762275302,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
120143,"modi kazimir malevich desenho american museum national history,0",irony,not-offensive,joy,386.17358884959924,"['news_&_social_concern', 'arts_&_culture', 'celebrity_&_pop_culture']"
29831,"chlia ajd hisar court bjp ruled harayana government manohar lal khattar mis using their political powers want change present judiciary system are against this kind injustice
narendar modi indirectly responsible for this ,1",non_irony,not-offensive,anger,737.9348756540634,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
127932,"people social media are making statements extreme ends both the sides
electronic media behaving bootlickers but print media drawing some what balanced inferences nda loosing 100 and upa gaining 100 seats
which that modi will not ,-1",irony,not-offensive,anger,768.5735008724333,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
160478,"usa response indian advance space technologyhow usa responded modi announcement ,0",irony,not-offensive,anger,-175.80745859222606,"['science_&_technology', 'news_&_social_concern', 'learning_&_educational']"
81924,"want become extra judicial punish modi,0",irony,not-offensive,anger,246.83131513891098,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
24890,"and you mean say that since modi made fool 15lakh this has also need come with similar jumlawah wah,-1",non_irony,not-offensive,anger,71.88972553179403,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
13714,"this ‘scheme’ keep the electorate dependent freebies pidi can get their votes stark contrast being the modi regime that believes making more and more folks job creators employees the growing pvt sector which wher jobs any rising nation ,1",irony,not-offensive,anger,808.2601767325233,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
1718,"yeah ppl divided sowe are fighting against uwe are with modi ,0",irony,not-offensive,anger,438.9105775204401,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
48665,"dont around spreading fake news not 20122014 this technology was already known during vedic times our rishis modi yogi and ramdev did special yagna now launch the missile also the satellite they shot down was pakistani spy satellite launched nehru,-1",non_irony,not-offensive,anger,537.6482572508802,"['news_&_social_concern', 'science_&_technology', 'learning_&_educational']"
8590,"modi now reminds nawaz siddiqui selling underwear movie,0",irony,not-offensive,joy,431.5269513558381,"['celebrity_&_pop_culture', 'film_tv_&_video', 'news_&_social_concern']"
81790,"surgical strikes have been going even upa era they didnt publicise like modi did,0",irony,not-offensive,anger,639.3388422804718,"['news_&_social_concern', 'diaries_&_daily_life', 'film_tv_&_video']"
31502,"modi did that yrs full fake promises this the reason they come for one term and then disappear,-1",irony,not-offensive,anger,194.46379412369595,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
110744,"chowkidar narendra modi tweeted
answered questions wide range issues this interview with arnab goswami ,-1",irony,not-offensive,anger,483.51126520097,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
83897,"live update people india have decided their mandate chowkidar will never injustice narendra modi ,1",irony,not-offensive,optimism,555.5073176736522,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
5783,"cant match the lac jumla given modi 2014,0",non_irony,not-offensive,anger,37.654260486026985,"['news_&_social_concern', 'celebrity_&_pop_culture', 'sports']"
22861,"india’ beef exports increase contrary claims prominent global rights group that said data showed fall the back attacks cow vigilantes tougher laws cow protection this report ,1",irony,not-offensive,anger,364.5816040769581,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
51378,"observe the climb nifty when modi wins any election ,1",non_irony,not-offensive,anger,364.985548047521,"['news_&_social_concern', 'diaries_&_daily_life', 'sports']"
95428,"why dont pappu start business with all the great skim made available modi government for new entrepreneurs then will realize that all his proposed plan already exist omg koi bachao pappu ,1",irony,not-offensive,anger,90.12830083317303,"['business_&_entrepreneurs', 'news_&_social_concern', 'other_hobbies']"
11485,"modi himself,0",non_irony,not-offensive,sadness,206.434665753264,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
10353,"either going pay cash pay modi paytm scheme,0",non_irony,not-offensive,anger,142.922266771944,"['business_&_entrepreneurs', 'news_&_social_concern', 'other_hobbies']"
135660,"doesnt tejashwi yadav realise that the entire opposition benefitting from kanhaiya kumars speeches and logical demolition claimsmade the modi government why daft that cant withdraw his candidate from begusrai,1",non_irony,not-offensive,anger,650.1333001062084,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
98265,"madhuriji what lame reply every work has deadline there will many other projects which arent completed leadership should chunup give successful news its citizens modi true leader,1",irony,not-offensive,anger,541.7753859154419,"['news_&_social_concern', 'diaries_&_daily_life', 'science_&_technology']"
154094,"modi corrupt governance held india back ,-1",non_irony,not-offensive,anger,172.50122595929201,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
111802,"are all with you modi sab,0",non_irony,not-offensive,optimism,83.497916375455,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
150705,"midnight hotphotoshoot sambit patra ,0",non_irony,not-offensive,joy,179.19983254282496,"['film_tv_&_video', 'diaries_&_daily_life', 'arts_&_culture']"
102687,"terrorists pakistan want lose opposition win modi via dailyhunt download now
,1",non_irony,not-offensive,anger,400.2978872027752,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
116947,"these crooked media for the sake having some sensational issues run their prime time poking her when rahul himself running south for safer seat will congress offer priyanka thrashed modi varanasi nonsense,1",irony,not-offensive,anger,455.65988235303826,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
45501,"the melodrama and wide speculations were created media and not pmo bjp why blame modi for that,-1",non_irony,not-offensive,anger,-31.24554241090398,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
15454,"pappu scheme only for family but modi for family also isnt full 72000 only diff between actual income and 72000 income 72000,1",non_irony,not-offensive,sadness,276.70571584720904,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
49516,"modi phd big lies beyond redemption,0",non_irony,not-offensive,anger,343.823167899015,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
132867,"72000 has been deposited your account 789087 inc india
total balance account 1572000
shekhar gupta modis 2019 mantra,0",non_irony,not-offensive,joy,-32.489899831008,"['business_&_entrepreneurs', 'diaries_&_daily_life', 'other_hobbies']"
87099,"modi sarkar likely scrape hope true ,1",non_irony,not-offensive,optimism,92.00626689388399,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
85956,"nah also said that permission was granted years back modi had already destroyed drdo then,0",irony,not-offensive,anger,-144.25192938141402,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
53915,"fact check why was asat tested today ,0",non_irony,not-offensive,anger,-170.98343109442004,"['diaries_&_daily_life', 'news_&_social_concern', 'learning_&_educational']"
155720,"modi bjp symbol for development congress disheartened indias progress says modi via namo app ,0",irony,not-offensive,sadness,207.748959918322,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
120564,"why modi you should apologise for irrelevant and irrespective behaviour our pmo atleast try give respect others human  ,-1",irony,not-offensive,anger,351.8906719740762,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
32861,"another chowkidarnithis guy will meet his fate anyways elections only could have talked little sensibly rather than uttering garbage learnt from shakha may had futurebut then even modis future uncertain where would this loud mouth fools count,-1",non_irony,offensive,anger,218.12006369950896,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
4580,"finally the 15lak lie they went town with consumed them masterstroke modi not counter cong that lie far,1",non_irony,not-offensive,anger,185.24055686546694,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
88332,"what you say bjp good for muslims modi cares for muslims and respects our religion much does hindu religion are equals modi stands for communal harmony and brotherhood only muslims who cant understand his deep love for them next mahatma ,1",non_irony,not-offensive,anger,122.16336237705629,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
145113,"see the face modi criminal want avenge someone you forget about gandhi family you couldn’ even look after your family now shouting against others family ,-1",non_irony,not-offensive,anger,253.14256002104304,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
161231,"very important for strong india that after may modi lead the country again,1",irony,not-offensive,optimism,118.66552709779698,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
143188,"you think modi god,0",irony,not-offensive,anger,191.525253626103,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
71828,"let them what ever they want come elections day modi and goondas will running for cover
ाेशबचा ,0",non_irony,not-offensive,anger,61.729397994154,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
103420,"can understand their position from within they know that modi isn’ going any favour hasn’ done for last years greed has dragged them all back where they belong,0",non_irony,not-offensive,anger,50.08545030462909,"['news_&_social_concern', 'diaries_&_daily_life', 'business_&_entrepreneurs']"
121934,"officer probing nirav modi case transferred decision reversed within hours,0",irony,not-offensive,anger,544.4758585798289,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
41228,"approx 150000 villages india and less 18000 villages total modi liye 180000 gav desh hai kya,-1",non_irony,not-offensive,joy,361.4437257230061,"['news_&_social_concern', 'diaries_&_daily_life', 'science_&_technology']"
126228,"march ians the election commission friday ruled that prime minister narendra modis address the nation announcing the successful test antisatellite missile asat did not violate the model code ,1",irony,not-offensive,anger,853.8573513619375,"['news_&_social_concern', 'science_&_technology', 'diaries_&_daily_life']"
25612,"ahahahahhahaa iconic love let’ squash this beef hate modi anyway ,1",non_irony,not-offensive,joy,-29.351847918261996,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
152881,"bjp got 31vote share last electionswe know was vote for modi saying who did not vote then those who will not vote for modi 2019 which will around more that 45will anti india according half indian pop anti indiawhat bhakt logic,1",non_irony,not-offensive,anger,977.3172955773738,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
40741,"but the fundamental problem bjp’ communication with voters and voter education remain intact onset 2018 also modi govt had many achievements but this did not arrest downswing bjp 2018 because huge problem communication with voters voter education ,1",non_irony,not-offensive,sadness,525.4978499879032,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
84442,"yeah yeah,0",irony,not-offensive,joy,-52.237305796914,"['diaries_&_daily_life', 'other_hobbies', 'news_&_social_concern']"
73718,"sir should also congratulate current political will truth knows also ,0",irony,not-offensive,optimism,138.608484564002,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
66730,"sir security guard citizens support new india which fighting corruption dirt terrorism poverty they pledge their support the chowkidar india modi who building new india which strong secure prosperous
via namo app,1",irony,not-offensive,optimism,1645.4180320303947,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
52694,"when the time congress leading the indian rupee was more lower than dollars price now this time america favor india cause sir make india proud joining hands  need sir modi ,1",irony,not-offensive,optimism,860.9541768015199,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
137629,"‘why shouldn’ modi get credit for balakot strike’ asks rajnath singh india news ,0",non_irony,not-offensive,anger,239.31594701245595,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
162894,"pretty much atheist myself but can never ask folks stop believing something what fuels their desire selfless and helpful others drove them maha maya temple modi nagar today had rather peaceful day navratri month here ,1",non_irony,not-offensive,optimism,-114.34606759150701,"['arts_&_culture', 'news_&_social_concern', 'diaries_&_daily_life']"
89063,"narendra modi akhnoorjk whole country talking one voice and these congress people are talking different voice you accept this language congress pdp pakistan applauds their language ,1",irony,not-offensive,anger,11.687869983535947,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
34055,"witness the journey common man which will truly inspire you watch the exclusive official trailer modi – journey common man original series ,-1",non_irony,not-offensive,joy,877.619124502413,"['film_tv_&_video', 'news_&_social_concern', 'diaries_&_daily_life']"
18153,"bjp the factory lies most schemes are name changing only cant keep promises thats the modi government,1",irony,not-offensive,anger,43.070491832521945,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
137165,"then modi gave fake promise,-1",irony,not-offensive,anger,144.27752648290402,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
61429,"this called comedian blinded hate for modiand has started showing his stage performances toohardly funny ,-1",irony,not-offensive,anger,117.70014156431098,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
53995,"but cong can stake claim success back yrs history then bjp modi has good claim success too having building blocks tech one thing another weaponize seeing strategic need for prepared for repercussions needs balls namo has ,1",non_irony,not-offensive,optimism,331.7591261946952,"['news_&_social_concern', 'science_&_technology', 'business_&_entrepreneurs']"
131862,"what made modi 500 farmers,0",irony,not-offensive,anger,-23.792981173113017,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
45743,"saying india has now entered the super league space powers such russia usa and china narendra modi said this was proud moment for every indian ,1",irony,not-offensive,joy,160.16242666560495,"['science_&_technology', 'news_&_social_concern', 'business_&_entrepreneurs']"
95114,"one held for demanding ransom kill ,0",non_irony,not-offensive,anger,44.608234590672026,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
114604,"proud have modi sir ,1",non_irony,not-offensive,joy,166.763252521495,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
155628,"modi sir what the govt stand towards wildlife conservation depleting forest cover climate change ,0",non_irony,not-offensive,sadness,356.5718358234041,"['news_&_social_concern', 'celebrity_&_pop_culture', 'science_&_technology']"
7665,"javed akhtar could have called narendra modi producer sandip ssingh credit row entertainment news the indian express ,0",irony,not-offensive,joy,75.71106970850302,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
162348,"seems just like their leaders some people have inability understand even basic things could show single video where modi pleadging giving lacs every indians,-1",irony,not-offensive,anger,938.929940216056,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
160723,"learn how write aur baar modi sarkar means like india,0",irony,not-offensive,joy,106.38433155664397,"['news_&_social_concern', 'learning_&_educational', 'arts_&_culture']"
83237,"how did pulwama gurdaspur pathankot and uri happen then national security unsafe under modi,0",irony,not-offensive,anger,-79.31961247031107,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
23749,"modi paisa batorte rahe aur congress waale lootate rahe again new scheme fir corruption paise 72000 issue krr doge par garib account jaane bajaye swiss bank jayenge,1",non_irony,not-offensive,anger,-114.75161566438298,"['news_&_social_concern', 'business_&_entrepreneurs', 'celebrity_&_pop_culture']"
138600,"sacked bsf jawan mryadav resident rewari haryana chose contest independent candidate said contesting the elections would raise the issue corruption the forces
,0",irony,not-offensive,anger,221.43811354586487,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
49317,"great achievement modi has taken the space warfare club which nehru gandhi family would never have allowed ,1",irony,not-offensive,optimism,-36.25452117286801,"['news_&_social_concern', 'science_&_technology', 'business_&_entrepreneurs']"
34655,"the guardian view modi’ mistakes the high costs india’ demonetisation editorial ,1",irony,not-offensive,sadness,781.988495839206,"['news_&_social_concern', 'business_&_entrepreneurs', 'celebrity_&_pop_culture']"
6670,"are real modi requested all kind people and who the fuck the kejriwal and mamta just cms how can evern compare them with and says communications expert least justice profession boss,1",non_irony,offensive,anger,24.06957409055704,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
157188,"shri narendra modis interaction with people across india via jai hind,0",irony,not-offensive,joy,601.616368086056,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
148727,"far shri modi concerned must accept that also human some mistakes might have taken place but having observed his life and career can vouchsafe that has not committed any mischief corruption middlemen and brokers delhi have been smashed completely,1",non_irony,not-offensive,anger,240.46572018502997,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
4602,"doesnt knowonly know post some other news related modi had asked him why kalburgi still backward districthe doesnt want answer such questionsjus mock oppose for the sake opposing,-1",non_irony,not-offensive,anger,158.65162837798803,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
69709,"narinder modi will take oath 26thmay 2019 with majority rashtrapathi lawns 4pm
congress and opposition are invited,0",non_irony,not-offensive,joy,394.7828254310461,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
64781,"height insanity anyone open truth against gandhi khandan slaves jumped into damage control know slaves dont have freedom think slaves have proven bjp and rss are only patriot rest anti national thanks for your kind cooperation modi hai toh mumkin hai,1",irony,not-offensive,anger,174.93079536866696,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
107860,"correct brother people nowadays things that with modi with india and not anti india ,0",irony,not-offensive,anger,486.1451595438981,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
9796,"modi was blamed for the massacre 2000 unarmed innocent muslims and killing thousands kashmiri kashmir not reasonable choice for india crime never pays
reminder ,1",non_irony,not-offensive,anger,483.8480539002271,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
100328,"modi leaving stone unturned promoting that efficient ‘chowkidar’ and that the previous governments were weak does that mean there’ hope for ‘achhe din’ for these institutions under the modi government ,-1",irony,not-offensive,anger,516.6748214833962,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
71061,"that was one moment when hated modi for while,-1",irony,not-offensive,anger,47.606585255648994,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
121683,"why did modi fire urjit was not asked step down that propaganda politicians like shashi cited personal reasons why quit rumoured wanted take offer professorship ,-1",non_irony,not-offensive,anger,522.3580650866373,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
73151,"union cabinet chaired the prime minister narendra modi has given its expost facto approval the memorandum understanding between and startup cooperation the mou was signed february 2019,0",irony,not-offensive,optimism,258.74435047019455,"['news_&_social_concern', 'business_&_entrepreneurs', 'science_&_technology']"
119904,"modi wins see and gang deported from this country ,1",irony,not-offensive,anger,135.80615312054593,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
98085,"its been over years modi credited account before ill just trekking next thing alert 100k now kam nothing,-1",non_irony,not-offensive,sadness,422.654737087219,"['news_&_social_concern', 'travel_&_adventure', 'diaries_&_daily_life']"
160803,"congress leader and former siddaramaiah has alleged that modi the chowkidaar the rich not the poorfarmers minorities ,1",irony,not-offensive,anger,231.97434426483102,"['news_&_social_concern', 'business_&_entrepreneurs', 'celebrity_&_pop_culture']"
