,0,Irony,Offensive,Emotion,Stress Score,Topics
21345,"Which is better: Gronk's new SportsCenter ad, or his 4th and final Dunkin' Donuts music video with Big Papi? 
@user Prob the same guy that played 10 straight Dropkick songs at Berks last Saturday..felt like a rockin St Patricks Day 
@user I want you to cover \""Let\u2019s Stay Together\"" by Al Green on Saturday\u002c just because city pages warranted it. ",irony,not-offensive,joy,619.2487495951159,"['music', 'celebrity_&_pop_culture', 'sports']"
15764,Looking forward to sharing IBM's open source journey at the Open for Business day @user on  28 Sep in Hebden Bridge @user ,irony,not-offensive,joy,86.064036924674,"['business_&_entrepreneurs', 'science_&_technology', 'news_&_social_concern']"
34114,Anyone wanna go see some of the members from Grateful Dead and John Mayer on December 30tg ,non_irony,not-offensive,joy,-421.3304302984939,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
34576,10 Things You Should Know About #NLGJA15 - 1. It is the 25th Anniversary of the National Lesbian and Gay Journalis... ,irony,not-offensive,joy,244.433377719619,"['news_&_social_concern', 'diaries_&_daily_life', 'arts_&_culture']"
31697,Hulk Hogan you did nothing wrong! I work a black man. We call each other nigga all the time. He may be my... ,irony,offensive,anger,21.045996709247003,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
10150,@user We spoke and you didn\u2019t mention it..! Happy birthday Queen! Enjoy your earth day..Long may your pioneering work continue..x x ,non_irony,not-offensive,joy,313.18655191322995,"['news_&_social_concern', 'diaries_&_daily_life', 'arts_&_culture']"
35883,@user im curious\u002c do students of #NYUSCPS qualify for the ticketed code to the Richie Hawtin & Loco Dice lectue on the 3rd of nov? ,non_irony,not-offensive,joy,575.8060658947271,"['learning_&_educational', 'youth_&_student_life', 'news_&_social_concern']"
3777,Did i mention i'm going to see Foo Fighters tomorrow? ,irony,not-offensive,joy,517.5737915912404,"['music', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
27084,"Messi and Barcelona are preparing for the away game against Granada in La Liga tomorrow, kick-off 20:00 CET ",irony,not-offensive,joy,-53.00798070914593,"['sports', 'gaming', 'news_&_social_concern']"
16033,"Watching \""Contraband\"" for the 3rd time\u002c Mark Wahlberg is the man! ",irony,not-offensive,joy,41.267548659054036,"['celebrity_&_pop_culture', 'film_tv_&_video', 'news_&_social_concern']"
65,"Shows how much you can trust drivers answering these questions. Alonso was still saying on Monday that Ferrari split is """"just a rumor."""" #F1 ",irony,not-offensive,anger,428.8907927494171,"['sports', 'news_&_social_concern', 'diaries_&_daily_life']"
15751,Happy November 1st SWEET friends!!! SWEET Thursday NOD\u2019s (names of the day) are.....Charrish\u002c Selma\u002c and Aiden.... ,non_irony,not-offensive,joy,-38.49550428312395,"['diaries_&_daily_life', 'relationships', 'other_hobbies']"
18813,Mamata asks parties to oppose cooking gas cylinder price hike: Kolkata\u002c Nov 1 (IANS) In the wake of yet another ... ,irony,not-offensive,anger,61.833087961756036,"['news_&_social_concern', 'business_&_entrepreneurs', 'diaries_&_daily_life']"
21567,#bloomberg Rick Perry May Not Have an Exit Strategy - New campaign-finance rules may block the normal winnowing pr... ,irony,not-offensive,sadness,171.28660582833993,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
749,Porto are the only team letting me down! C\u2019mon boys turn this around ,irony,not-offensive,anger,-64.37592549860803,"['sports', 'news_&_social_concern', 'diaries_&_daily_life']"
23103,"Still hyped rn! Kris Bryant is my favorite player, he got his 1st walk off homer, the Cubs got an important W and are staying in the hunt ",non_irony,not-offensive,joy,302.05927805557013,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
26240,We are closed for the day due to the storm see you tomorrow am at 9:20 on WJXT Channel 4 - National Hot Dog Day. ,irony,not-offensive,joy,-250.99671844025104,"['news_&_social_concern', 'diaries_&_daily_life', 'film_tv_&_video']"
17104,"@user ""Triple H was never Ric Flair's bitch. But this Sunday in gonna make you mine."" SCRIPTED. Well delivered. But scripted. ",irony,offensive,anger,724.0736263263351,"['celebrity_&_pop_culture', 'sports', 'film_tv_&_video']"
4262,Celebrate 3rd Day of  Eid Transmission With Dj Tariq &amp; Dj Adeel 10:00 Pm To 12:00 Mn Enjoy with FM 101 HApPy EiD... ,non_irony,not-offensive,joy,494.6665974835389,"['arts_&_culture', 'family', 'diaries_&_daily_life']"
10685,Shawn take a picture with me tomorrow ,irony,not-offensive,joy,41.450046780592,"['diaries_&_daily_life', 'relationships', 'celebrity_&_pop_culture']"
19226,CJ AND KRECKMAN WEDNESDAY: The guys are at Stoney\u2019s getting ready for the Nuggets season opener. Altitude\u2019s Chris... ,non_irony,not-offensive,joy,128.61678850826704,"['sports', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
12281,@user Just heard you\u2019re coming to Calgary on the 23rd!! BEST news ever!! You\u2019re going to kill it man!! :) ,irony,not-offensive,joy,74.82972423419096,"['music', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
22532,"No, Sam. The ""we"" in Kerry's statement is UNHCR, not the US government. Important distinction.  ",irony,not-offensive,anger,405.8789835790589,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
13080,tomorrow i wil go back to milan lol i don't want to tbh ,non_irony,not-offensive,sadness,219.54790140211801,"['travel_&_adventure', 'diaries_&_daily_life', 'arts_&_culture']"
13380,"If ""Carol"" doesn't make you yearn for Cate Blanchett to take you out for a flirtatious martini lunch, you may wish to seek medical attention ",irony,not-offensive,joy,211.23694551704196,"['celebrity_&_pop_culture', 'diaries_&_daily_life', 'food_&_dining']"
23267,Aug 30! Toads Place\u002c New Haven CT. Myself\u002c M.A.R.\u002c Jitta on the Track\u002c Danimal Lector and more! ,non_irony,not-offensive,joy,-141.027359513675,"['sports', 'music', 'celebrity_&_pop_culture']"
11041,Wait Spring Breakers is coming out March 5th....is that a worldwide release date or only in the US? ,irony,not-offensive,joy,382.4966892710391,"['film_tv_&_video', 'arts_&_culture', 'music']"
8039,"During Thursday night's edition of Jimmy Kimmel Live, the ABC comedian helped first lady Michelle Obama make a... ",irony,not-offensive,joy,704.9298138797727,"['news_&_social_concern', 'celebrity_&_pop_culture', 'film_tv_&_video']"
9819,sunday afternoon with Amy Lee on AMFM till 4pm. when i hand over to HIT 40 UK WITH MARK JAMES. ,irony,not-offensive,joy,62.22542348913997,"['celebrity_&_pop_culture', 'news_&_social_concern', 'music']"
3584,"@user His numbers are deceiving, but it is his first year.  He has some David Price similarities, but he may not pan out."" ",non_irony,not-offensive,sadness,990.1538992598761,"['sports', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
31863,I'm dreading all the press tomorrow saying Hair is about Zayn when IT WAS WRITTEN WAY BEFORE THEY BROKE UP ,irony,not-offensive,anger,53.02442805589596,"['celebrity_&_pop_culture', 'music', 'news_&_social_concern']"
13221,#Trayvon My daily tweet (9/15) in memory of Trayvon Martin- killed 203 days ago. ~May you Rest in Peace~ (Keep family in your prayers -Love) ,non_irony,not-offensive,sadness,77.72404276844101,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
32683,It's 9:44pm on Tuesday and Tom Brady is still the GOAT ,irony,not-offensive,joy,41.13328976687798,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
26310,Done my balls in Barca but still treated myself to a five euro 1st class upgrade on the fast train to Madrid. #BudgetBaller ,irony,not-offensive,joy,-21.850707074375,"['diaries_&_daily_life', 'travel_&_adventure', 'sports']"
9060,I woke up to see the sun shining all around me... Yoko Kanno on Pandora  #pandora ,irony,not-offensive,joy,-221.82656740696598,"['music', 'diaries_&_daily_life', 'arts_&_culture']"
20113,i Like to Give out The Most Critical DreamTeam info This Early in the Morning ..  thats when im slept on the most! lol\u002c Next Show! NOV 15!! ,non_irony,not-offensive,joy,696.0183669974695,"['diaries_&_daily_life', 'other_hobbies', 'arts_&_culture']"
31186,RT @user RT @user West Cork Pig Derby tonight in Timoleague!  Declared non-runners! #corkbuzz ,non_irony,not-offensive,joy,169.05981270472205,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
14874,Oliseh likes what he sees: Nigeria coach Sunday Oliseh says his Super Eagles side are a work in progr... #femnath ,irony,not-offensive,optimism,400.749906989449,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
11290,@user #987ActOfAwesome I just broke my iPhone ... Tomorrow is my birthday. PLEASE GIVE ME THAT SAMSUNG ! :) ,irony,not-offensive,joy,248.43048976870006,"['science_&_technology', 'diaries_&_daily_life', 'learning_&_educational']"
28184,Can't tell you how badly I wanna see Ed Sheeran thursday in Houston ,irony,not-offensive,joy,-269.281314956011,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
25040,Hundreds of Malaysia's lawyers and their supporters on Thursday (October 16) marched on Parliament demanding the government honours its t... ,irony,not-offensive,anger,-145.79456636007498,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
19496,Numerous treatment innovations presented at the Hands on Workshop on #Venous Disease\u002c tomorrow until Nov 3 in #Cyprus ,irony,not-offensive,optimism,-3.6732192088079914,"['science_&_technology', 'fitness_&_health', 'learning_&_educational']"
33162,"Tonight, I rewatch TWILIGHT for the first time (soberly) in 6 years. This is for legitimate research. You may judge mercilessly and cruelly. ",non_irony,not-offensive,joy,563.7529141418078,"['film_tv_&_video', 'diaries_&_daily_life', 'arts_&_culture']"
14080,If Niall is actually following people why can't he follow me like Niall c'mon stop making me emo ,irony,not-offensive,anger,302.9816564992091,"['celebrity_&_pop_culture', 'music', 'relationships']"
16962,Paul McCartney did not disappoint the 4th time.  #Legendofmusic ,irony,not-offensive,joy,301.754536239318,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
19097,Wichita St. with 3 errors in 2 innings. I imagine veteran coach Gene Stephenson is boiling in the dugout. MSU lead 6-0\u002c bottom 2nd. ,irony,not-offensive,anger,818.1173942537307,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
4170,"Paul McCartney's daughter, Stella, and Ringo Starr's son, Zak, share the same birthday: September 13th. ",irony,not-offensive,joy,-140.30908042334102,"['celebrity_&_pop_culture', 'music', 'relationships']"
16350,Listening to Nirvana at 2am on a Monday morning while eating noodles. I don't know about you but I'm doing life right ,irony,not-offensive,joy,363.767873603816,"['food_&_dining', 'diaries_&_daily_life', 'music']"
22280,May 5. BadHabitz heads to Chesters in Appleton\u002c WI to rock the house. Don\u2019t miss this show! ,non_irony,not-offensive,joy,177.08921897571497,"['food_&_dining', 'music', 'arts_&_culture']"
31509,Guys\u002c the Marijuana law in Colorado\u002c Oregon\u002c and Washington can pass this Tuesday. #HighHopes ,irony,not-offensive,optimism,-59.07234137221199,"['news_&_social_concern', 'diaries_&_daily_life', 'film_tv_&_video']"
21342,a shame I can sit up n call my daddy and granny nem back 2 back 2 back n they won't pick up but let Briana call they answer the 1st ring ,irony,not-offensive,anger,-355.72471539413795,"['diaries_&_daily_life', 'family', 'relationships']"
5334,"Especially for our Scott Walker supporters, here's 15% off the #Walker16 store through Monday. 
In the Sports World Kenseth avoids 25-car pileup to win at Dega: Daytona 500 winner Matt Kenseth won  Sunday at ... 
Freaky Knight III going down this Friday at Fox Theatre in Salinas. DM me for tickets and info. #dontsleeponthisone 
@user HE WAS ONLY 61 RAH, tbh I thought it would be Ric Flair to die 1st lol no disrespect to him 
AHHHHH just got Lauren\u2019s email!!! We are going to snap tomorrow #beready 
Rafeef Ziadah is joining us at the Rich Mix alongside Mark Gonzales this Monday! 
Are you ready for this Sunday night when WWE champ John Cena defends his title in the WWE Super Slammmm 
Waaaa Hooooo Bernie Sanders trending again in 1st position on FB. 4:09 p.m. MST/PDT. Sat. Sept 6.  Keep up the good work.  WE will prevail. 
Alhamdulillah Maryam got engaged and Inshallah after Eid will be her marriage. :)  may Allah bless my sister with happiness and much more. 
who would wanna go see Zac Brown Band with me at Wrigley on September 11th....? 
Hey Conservatives and Scott Walker supporters, while you're enjoying this Labor Day Weekend and have tomorrow off... ",non_irony,not-offensive,joy,1691.0650929252336,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
19188,GM sat slide down big bangs #JAYZ will be in the building ,irony,not-offensive,joy,383.97342829554003,"['celebrity_&_pop_culture', 'music', 'news_&_social_concern']"
26663,Spending the rest of the night with Indy. What a guy! STAR WARS WEEKENDS TOMORROW!!! ,irony,not-offensive,joy,150.278846694023,"['diaries_&_daily_life', 'film_tv_&_video', 'relationships']"
6926,"KOREATOWN, Calif. -- A man allegedly shot his former boss in the head Thursday at a commer 
A rumor popped out about an @user concert in Kyiv this February. I wonder how true that is. I'm so going if it's true, though."" ",irony,not-offensive,sadness,563.8454533623831,"['news_&_social_concern', 'music', 'celebrity_&_pop_culture']"
4979,"Kris Bryant was back in the Cubs' lineup and ready to play before Monday night's rainout in Pittsburgh, but his... 
@user Was a Nokia N9 left behind at tonight's seminar at St Johns? In the rush to leave I think I left mine behind. 
Missing D.C... But it's ok... I'm seeing Ed Sheeran on Tuesday... That makes everything better. 
currently trying to learn all the words to Calibraska so I know them for the show in November #CalibraskaEP 
He is the God of Abraham, Isaac n Jacob - Israel! He's alive... then who is Israel? u may ask?"" ",non_irony,not-offensive,joy,1014.7707189669599,"['sports', 'celebrity_&_pop_culture', 'music']"
4829,Every Saturday is St. Patrick's Day at Welsh Road with Live Irish Music! BALLINA today w/ $3 Guinness Pints from 3-7 ,non_irony,not-offensive,joy,389.09208820028505,"['food_&_dining', 'arts_&_culture', 'music']"
26454,I try to always pay for the order behind me at Dunkin on Monday's..starts both of our weeks off on a good note. ,irony,not-offensive,optimism,-186.08047820256607,"['diaries_&_daily_life', 'food_&_dining', 'family']"
31624,"Its official: John Kasich is running for president, becoming the 16th major candidate seeking the GOPs 2016 nomination ",irony,not-offensive,optimism,691.4616824198292,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
5763,Don't get comfortable just because Labor Day is over! Can You Dig It!!!??? I can tell you what I'm doing Sunday!... ,irony,not-offensive,optimism,-67.33403690962398,"['diaries_&_daily_life', 'other_hobbies', 'relationships']"
25197,Check out Jurassic World at 9PM Wednesday in the Auditorium! Come show the raptors who's the Alpha! #UNT ,non_irony,not-offensive,joy,119.27204959017796,"['film_tv_&_video', 'arts_&_culture', 'diaries_&_daily_life']"
31096,Incredible picture but it's from the aftermath of the Charlie Hebdo shooting in January  ,irony,not-offensive,joy,316.95584238683904,"['news_&_social_concern', 'arts_&_culture', 'diaries_&_daily_life']"
25200,"@user @user Who had the better """"Black Friday"""" record J Cole or Kendrick Lamar?"" ",non_irony,not-offensive,joy,145.374489927318,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
26074,Dennis Kucinich to Run in the 6th District? ,irony,not-offensive,optimism,502.23611996032093,"['news_&_social_concern', 'sports', 'diaries_&_daily_life']"
7635,Now I'm talking to my big sister and she's telling me that Kane's telling her he is going out on sat and I'm like yhhh I know with me ,irony,not-offensive,joy,496.12014432698606,"['diaries_&_daily_life', 'relationships', 'family']"
21670,"This nigga finnah get caught off guard, do the illest Randy Orton drop kick from the 7th step son  
If the PGA tour just played Thursday Friday Saturday. Dustin Johnson would win every tournament 
Time for some Nekromantix, gotta get them all up ins my head for the gig next Saturday ^_^"" ",non_irony,offensive,joy,256.0308582979598,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
34760,@user Are u coming up the 17th. Davis is playing Hawaii for vball so we will see Chris Webb and Scott Wong. ur mom & my mom are! ,irony,not-offensive,joy,392.1629792855712,"['sports', 'diaries_&_daily_life', 'family']"
837,Mizzou beats Kentucky 2-1! Tigers advance to face top-seed Florida in the semis on Friday at 6:30 p.m. ,irony,not-offensive,joy,330.012667494516,"['sports', 'news_&_social_concern', 'gaming']"
9939,Carly Fiorina wants special treatment. The criteria was published may 20. She didn't cut it so there's that. ,irony,not-offensive,anger,419.44585177009907,"['news_&_social_concern', 'celebrity_&_pop_culture', 'business_&_entrepreneurs']"
20131,Israeli occupation forces clash with Christians after Sunday mass ,irony,not-offensive,anger,149.43726674640206,"['news_&_social_concern', 'diaries_&_daily_life', 'other_hobbies']"
25686,"In case you missed it, or want to look for yourself, last Sunday's 21st annual #LdnOnt Pride Parade airs at 8 p.m. tonight on Rogers TV. ",irony,not-offensive,joy,-7.273433955353028,"['news_&_social_concern', 'film_tv_&_video', 'diaries_&_daily_life']"
25145,"@user Kane in EDM would be insane. If Kane went to MIN, MIN may finally be able to beat CHI in the playoffs"" ",irony,not-offensive,joy,-18.830495013865978,"['sports', 'music', 'celebrity_&_pop_culture']"
10888,Madonna was on Saturday Night Live with Bee gees last night :) she is perfect ,irony,not-offensive,joy,160.00145435524593,"['celebrity_&_pop_culture', 'film_tv_&_video', 'music']"
12508,Summer is BUSY! Saw Ant-Man with super heroes LilF and @user Tomorrow Minecraft with @user and @user ,irony,not-offensive,joy,134.65382719744795,"['film_tv_&_video', 'diaries_&_daily_life', 'gaming']"
31830,Anyone want to take a ride with me to Atlantic City tomorrow? ,non_irony,not-offensive,joy,151.812923062848,"['travel_&_adventure', 'diaries_&_daily_life', 'other_hobbies']"
4434,"@user how is it that someone who is HIV positive can be charged, but people who may have ebola are not penalized for moving in public"" ",irony,not-offensive,anger,471.7385596077601,"['news_&_social_concern', 'fitness_&_health', 'diaries_&_daily_life']"
35946,In his session at the 11th International Cloud Expo\u002c Ronald Bradford\u002c Founder & CEO of Effective MySQL\u002c will dis... ,irony,not-offensive,joy,265.769655062806,"['science_&_technology', 'business_&_entrepreneurs', 'news_&_social_concern']"
3978,I'm going to Milan tomorrow omg I forgot????? ,irony,not-offensive,joy,83.02043482673803,"['travel_&_adventure', 'diaries_&_daily_life', 'sports']"
12209,Dustin Johnson and Sunday's just don't work together ,irony,not-offensive,anger,-97.13899799242898,"['sports', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
24900,Republican hopeful Carly Fiorina said Monday that she feels like the only candidate going after Hillary Clinto... ,irony,not-offensive,optimism,426.49863559816293,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
31601,[BBC-Africa] Somalia announce Cecafa Cup plans: Somalia will arrive in Uganda on 8 November to give the team tim... ,irony,not-offensive,joy,267.7700141097891,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
605,I can't wait for tomorrow nd all th fun I'm gonna have with my bf at queen Mary :) nd I can't wait til Wednesday my birthday :) Halloween ,non_irony,not-offensive,joy,-159.14115302794303,"['diaries_&_daily_life', 'relationships', 'family']"
8745,Its been a N.W.A and solo Ice Cube music kinda day...gonna watch Straight Outta Compton tomorrow. ,irony,not-offensive,joy,-29.103953377830013,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
4083,i just saw degrassi cause i missed id on friday @user your so cute ! ,irony,not-offensive,joy,349.5179430850582,"['film_tv_&_video', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
6550,Did you know that 'Chris Brown' was Trending Topic on Tuesday 8 for 2 hours in New Orleans? #trndnl ,irony,not-offensive,joy,98.56751677546791,"['music', 'celebrity_&_pop_culture', 'news_&_social_concern']"
8798,chris brown is gonna be at the game next sunday all is good ,irony,not-offensive,joy,-20.776819888844045,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
13691,@user I will have a column on Rex for tomorrow. I just don't feel like talking Jets right now with the Royals doing so well. ,irony,not-offensive,sadness,312.9704042986679,"['sports', 'news_&_social_concern', 'diaries_&_daily_life']"
20798,"Come and join us @user to Be' Women's Day @user with @user on Nov 3rd - Dealing with anxieties, addictions, abuse, hurts... ",non_irony,not-offensive,sadness,510.22245557165706,"['news_&_social_concern', 'diaries_&_daily_life', 'fitness_&_health']"
14147,I madr noprogress my lfe is going downhill actually Kpop ruined the world everything will dje the sun will explodeand Bush will confirm 9/11 ,irony,not-offensive,sadness,485.3816022520381,"['news_&_social_concern', 'music', 'celebrity_&_pop_culture']"
34478,Just wanna listen to nirvana til the sun comes up ,irony,not-offensive,joy,13.755177851501015,"['music', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
30014,"Jon Stewart got into the action at WWE's SummerSlam on Sunday, bashing John Cena with a chair. 
My butt cheeks hurt and I love it! Yoga, lunges and squats lol might go back for round 2 of Yoga on Thursday...the positions we did&gt;&gt;&gt;"" ",irony,offensive,joy,181.88460586425705,"['sports', 'fitness_&_health', 'celebrity_&_pop_culture']"
15843,@user haha. You know i cant deal with athens after last saturday. Hear their ignorant asses talk about the game. Lord help me ,irony,offensive,anger,-259.83756422465194,"['sports', 'diaries_&_daily_life', 'gaming']"
20415,@user your going to Indianapolis Sunday for the Colts game?!?! ,irony,not-offensive,joy,23.123579146994995,"['sports', 'gaming', 'diaries_&_daily_life']"
17486,"Happy Friday: Here's Joe Biden making a cameo on a 1993 episode of ""Where in the World is Carmen Sandiego?"" ",irony,not-offensive,joy,349.976705338173,"['news_&_social_concern', 'film_tv_&_video', 'celebrity_&_pop_culture']"
25530,Will be presenting speakers at this Friday's youth shout out forum at Challenge Stadium with the honorable Julie Bishop and Peter Garrett. ,irony,not-offensive,joy,322.00879396508606,"['youth_&_student_life', 'learning_&_educational', 'news_&_social_concern']"
13742,not gonna like @user had me in my feels before 7th period with that Ed Sheeran. ,irony,not-offensive,anger,133.983244152054,"['music', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
24739,"So what if Donald Trump is right on some things? Like the old saying goes ""the sun will shine on a dog's ass, occasionally."" ;-) ",irony,offensive,optimism,548.8058233065481,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
18016,Just a reminder No Brewery Yoga this Saturday September 12th. Still come and celebrate with Aardwolf Brewery for... ,irony,not-offensive,joy,93.213364413304,"['food_&_dining', 'diaries_&_daily_life', 'fitness_&_health']"
28141,@user Any chance that you guys will be offering the new Moto G (3rd gen) in the near future? ,non_irony,not-offensive,joy,-65.950880092226,"['science_&_technology', 'business_&_entrepreneurs', 'sports']"
34421,How May ffs do you want for Shawn and Normani?  ,non_irony,not-offensive,anger,-210.54764208821504,"['celebrity_&_pop_culture', 'music', 'film_tv_&_video']"
29302,Bristol City haven't been in this match since Eagles scored in the 31st minute. THIS is my Bolton Wanderers. #bwfc ,irony,not-offensive,anger,499.25394562133414,"['sports', 'gaming', 'news_&_social_concern']"
20855,@user Ahhh ill be watching Sharknado tomorrow Wish I could see it now! =:D ,non_irony,not-offensive,joy,201.38011020336103,"['film_tv_&_video', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
20672,"Dustin Johnson's career, with bunch of near misses at majors, reminds me of 1st half of Phil's career. DJ will break thru, just as Phil did. ",irony,not-offensive,optimism,416.310071627433,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
33775,"Since I can't jailbreak the Apple Watch, the theming platform may have to been an app to download icon packs, and then the user 1/2 ",non_irony,not-offensive,anger,-177.84282108571804,"['science_&_technology', 'diaries_&_daily_life', 'news_&_social_concern']"
10433,Old school #wrestling from the @user Don't Miss Monday's episode on Brock Lesnar defeating John Cena at... ,irony,not-offensive,joy,87.5296580504859,"['sports', 'film_tv_&_video', 'celebrity_&_pop_culture']"
26363,Second suggestion for the GOP Debate: Give John Kasich 5 minutes of uninterrupted time to explain why he's 10th out of these 10 dudes. ,irony,not-offensive,anger,466.0805268700531,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
27663,What shall I watch today? My dear Anna Kendrick in 50/50? Raquel in One Millions Years BC? Or Sly in Over the Top? All would be 1st times. ,non_irony,not-offensive,joy,169.10139399104105,"['celebrity_&_pop_culture', 'film_tv_&_video', 'music']"
12906,"@user great pic of both of you! How time flies, eh? Bangs, all girls do bangs . Paul McCartney's 1st GF set the rage rage 4 bangs"" ",irony,not-offensive,joy,27.61605695408601,"['celebrity_&_pop_culture', 'relationships', 'news_&_social_concern']"
13198,Surprising end to a Gauntlet Match between Brock Lesnar and the three weakest members of the RAW Roster in WWE 2k14. He lost to the 2nd man. ,irony,not-offensive,anger,-167.910724633323,"['sports', 'film_tv_&_video', 'celebrity_&_pop_culture']"
14787,#BREAKINGNEWS a man is in custody and is assisting police over the stabbing death of a man in Bentley on Thursday #perthnews #wanews ,irony,not-offensive,sadness,116.56362183484215,"['news_&_social_concern', 'diaries_&_daily_life', 'celebrity_&_pop_culture']"
32768,CW Network Aug 30th Check Nelly on his nee show..... I have friends involved on that show..Check it Out let me know what u think ,non_irony,not-offensive,joy,325.99125754963995,"['film_tv_&_video', 'celebrity_&_pop_culture', 'news_&_social_concern']"
26149,"Surely everyone has heard of the ""Paul Dunne vs rules official"" on the 18th green in Statesborough story.  #worldwar3 ",irony,not-offensive,anger,-21.468051218497017,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
26852,Dana White ontitle shot: 'He'll get whatever he wants'Custom Clothing Here Link-&amp;gt;[h ,non_irony,not-offensive,joy,187.490625668531,"['fashion_&_style', 'celebrity_&_pop_culture', 'business_&_entrepreneurs']"
20198,"Michelle Obama, Barack Obama: Honor Colored Girls on February 28th (the last day of black history mon... via @user ",irony,not-offensive,joy,-52.39267506951501,"['news_&_social_concern', 'celebrity_&_pop_culture', 'diaries_&_daily_life']"
18360,"FIRE IN THE ASHES: 25 Years Among the Poorest Children in America by Jonathan Kozol comes out Tues, avail for pre-order ",non_irony,not-offensive,sadness,93.61499933216696,"['arts_&_culture', 'learning_&_educational', 'news_&_social_concern']"
5101,@user I may not agree with Wilkie's ideas but he has proven he is a man of principle...It's a pity Peter Garrett cannot say the same. ,irony,not-offensive,optimism,325.80881127233596,"['news_&_social_concern', 'diaries_&_daily_life', 'sports']"
13803,"Today my doctor diagnosed me with a repetitive strain injury known as ""iPhone thumb"". May my social media use be a cautionary tale to all. ",irony,not-offensive,sadness,436.1168724684391,"['fitness_&_health', 'science_&_technology', 'diaries_&_daily_life']"
13421,@user john cena without u on Rae it would not a good raw you are the main reason I watch Monday night Raw without you I can't watch it ,irony,not-offensive,anger,-58.03898808794,"['film_tv_&_video', 'celebrity_&_pop_culture', 'sports']"
14607,NonStop #music for you! now: U2 - Sunday Bloody Sunday it's #Holland #International at ,non_irony,not-offensive,joy,-64.37196702614798,"['music', 'celebrity_&_pop_culture', 'film_tv_&_video']"
17851,@user Hello is the 1830 screening of Paper Towns just for Unlimited card holders? I notice the release date is 21 Aug? Thanks ,irony,not-offensive,joy,207.66749282703688,"['film_tv_&_video', 'arts_&_culture', 'diaries_&_daily_life']"
11921,Kesha's Camp Speaks Out on Dr. Luke Abuse Allegations: Following the news Tuesday of Kesha's lawsui... #musicnews ,irony,not-offensive,sadness,62.246116481495,"['celebrity_&_pop_culture', 'news_&_social_concern', 'music']"
19712,Tom Brady gone get it tomorrow hopefully he ready ,irony,not-offensive,joy,-23.021184679829002,"['sports', 'celebrity_&_pop_culture', 'news_&_social_concern']"
15382,Tomorrow is National Hot Dog Day. If you are in Brighton drop by @user ,irony,not-offensive,joy,168.909143307175,"['diaries_&_daily_life', 'news_&_social_concern', 'food_&_dining']"
32157,Super Eagles chief coach Sunday Oliseh has unveiled his team list for the 2017 Africa Cup of Nations Group G game... ,irony,not-offensive,joy,368.1033025069621,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
24112,"@user scriptures in Islamic text suggests """"Allah"""" in Islam may be Satan. When compared to the bible  Though its purely hypothetical."" ",irony,not-offensive,optimism,506.72294061877705,"['arts_&_culture', 'other_hobbies', 'learning_&_educational']"
15124,Camera closes in on Murray in his chair after losing 2nd set and he's dropping F bombs like they're going out of fashion. Brilliant. #USOpen ,irony,not-offensive,joy,575.154390074106,"['sports', 'news_&_social_concern', 'celebrity_&_pop_culture']"
